date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-09-27,Pro,50721,67988,463414,249136,1601188,1774314,1911168,1934998,475309,505683,791521,370048,4870629,5324859
2023-09-27,TOTAL,420875,420875,3414799,3414799,9213528,8648023,9213528,8648023,1817474,1003190,1817474,1003190,24517888,24517888
2023-09-28,Client,225550,165238,1615629,164498,3395921,2092702,3315745,2663107,669802,193906,377619,360173,8193510,7046380
2023-09-28,DII,47164,69222,137374,1723942,0,107578,0,0,0,0,7447,0,292116,1800611
2023-09-28,FII,44912,102191,1106010,1250279,672276,843334,505614,472859,2884,12629,11293,7127,2682045,2349362
2023-09-28,Pro,57172,38147,409765,130059,1097079,1212836,1343918,1120485,124851,272940,401178,112175,3174643,3145961
2023-09-28,TOTAL,374798,374798,3268778,3268778,5165276,4256450,5165276,4256450,797537,479475,797537,479475,14342314,14342314
2023-09-29,Client,222553,149041,1617948,177127,4091337,3522705,4186301,3971015,756864,248713,477062,413614,10460120,9374160
2023-09-29,DII,50677,69222,139200,1731196,0,136600,0,0,0,0,17018,0,326477,1817436
2023-09-29,FII,41164,106469,1125383,1251291,774186,904711,664588,658365,22269,30078,33364,19834,2897791,2733910
2023-09-29,Pro,49581,39243,410199,133116,1239671,1272274,1254306,1206910,201246,316742,452935,162085,3489713,3248595
2023-09-29,TOTAL,363975,363975,3292730,3292730,6105194,5836290,6105194,5836290,980379,595533,980379,595533,17174101,17174101
2023-10-03,Client,236935,145015,1646665,190501,5395670,3916899,5485131,4654967,906225,282695,550316,463567,12385089,11489497
2023-10-03,DII,51667,69222,139309,1734356,0,135858,0,0,0,0,39952,0,326834,1843530
2023-10-03,FII,39837,125730,1103843,1256477,1150400,1288781,799000,697573,28685,34217,40764,25054,3645763,2944598
2023-10-03,Pro,48520,36992,428604,137087,1552057,1482902,1813996,1471900,240917,364034,544795,192325,4117034,4197095
2023-10-03,TOTAL,376959,376959,3318421,3318421,8098127,6824440,8098127,6824440,1175827,680946,1175827,680946,20474719,20474719
2023-10-04,Client,263891,176841,1698534,195267,4096305,3118572,4247315,3810739,1047252,285788,609899,501059,10510342,9541120
2023-10-04,DII,53055,68959,139636,1735914,0,136788,0,0,0,0,56862,0,329479,1861735
2023-10-04,FII,47600,139828,1105831,1344628,827263,1116111,487991,558120,33995,39036,49179,28976,3169836,2608722
2023-10-04,Pro,62486,41404,462654,130846,1293675,1280458,1481937,1283071,264396,413303,629703,208092,3776972,3775052
2023-10-04,TOTAL,427032,427032,3406655,3406655,6217243,5651929,6217243,5651929,1345643,738127,1345643,738127,17786629,17786629
2023-10-05,Client,265887,181903,1706967,217478,3448435,2768838,3583659,3436980,1098388,316809,662364,527945,9605324,8610329
2023-10-05,DII,52236,69716,139354,1733534,0,142107,0,0,0,0,62594,0,333697,1865844
2023-10-05,FII,49316,137627,1093710,1311665,661979,859512,453705,414517,35447,41825,51707,29316,2741789,2398537
2023-10-05,Pro,66278,44471,458719,136073,1247170,1317691,1320220,1236652,290284,421226,647454,222599,3801368,3607468
2023-10-05,TOTAL,433717,433717,3398750,3398750,5357584,5088148,5357584,5088148,1424119,779860,1424119,779860,16482178,16482178
2023-10-06,Client,258838,175478,1714148,222990,4596093,4256529,5133973,4921326,1128977,352966,709678,550242,12307551,11713687
2023-10-06,DII,53296,73726,140223,1742722,0,148523,0,0,0,0,77703,0,342042,1894151
2023-10-06,FII,49152,133520,1102634,1307967,845429,1018432,588347,590617,39477,43173,53199,30770,3098297,2704420
2023-10-06,Pro,61532,40094,456136,139462,1667594,1542299,1386796,1453841,315005,421578,642879,236705,4464144,3899776
2023-10-06,TOTAL,422818,422818,3413141,3413141,7109116,6965783,7109116,6965783,1483459,817717,1483459,817717,20212034,20212034
2023-10-09,Client,259881,179718,1713357,220154,5387252,3880108,5434059,4540768,1198844,354885,729107,564064,12794327,11667870
2023-10-09,DII,54189,69088,141742,1742041,0,147555,0,0,0,0,84015,0,343486,1895144
2023-10-09,FII,49824,137643,1097785,1307344,963181,1011490,721779,599081,40589,47085,56811,35200,3209954,2857858
2023-10-09,Pro,61995,39440,461678,145023,1552664,1476514,1747259,1375818,316860,442212,686360,244918,4311923,4238818
2023-10-09,TOTAL,425889,425889,3414562,3414562,7903097,6515667,7903097,6515667,1556293,844182,1556293,844182,20659689,20659689
2023-10-10,Client,257667,165630,1704244,221863,4568953,5471620,4779266,5610632,1180629,398195,755825,573411,13581308,12106627
2023-10-10,DII,53498,68774,138293,1756448,0,142186,0,0,0,0,92533,0,333977,1917755
2023-10-10,FII,47113,132787,1110146,1269859,811829,1038766,663208,832627,45554,47350,58210,38170,3100758,2994860
2023-10-10,Pro,50816,41903,447695,152208,1569007,1632976,1507316,1842289,345453,433242,665068,267206,4479189,4475990
2023-10-10,TOTAL,409094,409094,3400378,3400378,6949789,8285548,6949789,8285548,1571636,878787,1571636,878787,21495232,21495231
